species_name_,FAO group code,id,common_name_crop,species_name,species_name_taxonstand_,genus,sps,family,order,gf,wild_progenitor,sources_wild_progenitor,minimum_time_cultivation,minimum_time_domestication,sources_minimum_time_cultivation_domestication,filter_data_antiquity,use_food,use_animal_feed,use,use_primary,sources_use,number_gbif_records,filter_ocurr_gbif,sd_longitude,sd_latitude,mode_ecoreg_code,biogeografic_realm,mode_ecoreg_name,mode_ecoreg_centroid_lon,mode_ecoreg_centroid_lat,median_BIO1,median_BIO2,median_BIO3,median_BIO4,median_BIO5,median_BIO6,median_BIO7,median_BIO8,median_BIO9,median_BIO10,median_BIO11,median_BIO12,median_BIO13,median_BIO14,median_BIO15,median_BIO16,median_BIO17,median_BIO18,median_BIO19,cv_BIO1,cv_BIO2,cv_BIO3,cv_BIO4,cv_BIO5,cv_BIO6,cv_BIO7,cv_BIO8,cv_BIO9,cv_BIO10,cv_BIO11,cv_BIO12,cv_BIO13,cv_BIO14,cv_BIO15,cv_BIO16,cv_BIO17,cv_BIO18,cv_BIO19,FAO commodity group,Family,Authority,Notes
Gossypium_hirsutum,328,377,Seed_cotton,Gossypium hirsutum,Gossypium_hirsutum_L.,Gossypium,hirsutum,Malvaceae,Malvales,woody,"Gossypium_hirsutum_L.,Gossypium_barbadense_L.,Gossypium_darwinii_G.Watt,Gossypium_ekmanianum_Wittm.,Gossypium_mustelinum_Miers_ex_G.Watt",134,5500,5500,451,1,1,0,seed,seed,4,64,1,6.769802897,3.247079892,NT0235,Neotropic,Yucata�n Dry Forests,-89.21653,20.45296,256,105,65,1828,327,175,152,268,248,274,229,778,144,8,74,415,35,250,75,9.71642683,25.65683307,8.644125882,42.41246945,6.265685939,24.27330376,23.9698635,9.710672881,11.77437067,8.820267756,12.7231907,58.60388196,56.48190962,110.8234443,24.78362291,59.10142055,90.27703468,49.09174575,88.75869275,Seed cotton,Malvaceae,L.,"FAO lists only Gossypium spp.; note, G. herbaceum is cited as a cultivated cotton species, but USDA recognizes this as a synonym for a variety of G. hirsutum"
Litchi_chinensis,619,439,Litchi,Litchi chinensis,Litchi_chinensis_Sonn.,Litchi,chinensis,Sapindaceae,Sapindales,woody,Litchi_chinensis_Sonn.,4,4000,3800,4,1,1,0,fruit_flower,fruit_flower,4,84,1,3.779819962,1.548445188,IM0149,Indo_malay,South China-Vietnam Subtropical Evergreen Forests,109.6318815,22.22267464,222,87,35,5458,328,89,235,274.5,161,284.5,143,1405,259,28,70.5,695,100.5,686,114,10.96704646,13.64971137,15.88546357,18.27399218,8.414286983,30.34781988,11.61348817,8.269844295,20.46811559,9.303082617,19.57316475,15.12845535,18.85907153,43.03721624,13.36250804,18.74635639,36.30145043,22.2702394,42.50038749,"Fruit, fresh nes",Sapindaceae,Sonn.,FAO lists Nephelium litchi Cambess. which is a synonym for L. chihensis
Mammea_americana,603,466,Mamey,Mammea americana,Mammea_americana_L.,Mammea,americana,Calophyllaceae,Malpighiales,woody,Mammea_americana_L.,90,NA,NA,NA,0,1,0,fruit_flower,fruit_flower,90,165,1,11.72995811,6.560967693,NT0235,Neotropic,Yucatan Dry Forests,-89.216534,20.45296084,252,97,70,1137,317,177,143,261,240,269,229,1573,251,30,61,650,115,397,168,9.612298916,20.68791954,13.31583134,54.20618809,8.34141994,17.46049065,23.46919931,9.907667202,11.40065867,9.640348426,10.875521730000001,41.63267526,40.52212262,85.51109068,37.77355322,40.7538015,83.03506622,46.59151995,101.3371851,"Fruit, tropical fresh nes",Clusiaceae,L.,NA
Manilkara_zapota,603,472,Sapodilla,Manilkara zapota,Manilkara_zapota_(L.)_P.Royen,Manilkara,zapota,Sapotaceae,Ericales,woody,Manilkara_zapota_(L.)_P.Royen,NA,2500,NA,72,1,1,0,fruit_flower,fruit_flower,90,455,1,2.91422976,1.44295396,NT0181,Neotropic,Yucatan Moist Forests,-89.02181106,19.18381996,260,129,63,2250,358,157,201,274,260,284,228,1118,207,24,66,520,78,283,118,3.151169836,8.59173408,4.291529693,15.04569946,3.700084155,6.17607246,8.602265189,3.922658032,4.219463971,3.552815227,3.253491709,24.66025572,21.84693419,24.54698769,10.91799322,24.86086626,25.78513737,16.85135028,46.83940306,"Fruit, tropical fresh nes",Sapotaceae,(L.) P. Royen ,FAO lists the synonym Achras zapota L.
Metroxylon_sagu,149,483,Sago_palm,Metroxylon sagu,Metroxylon_sagu_Rottb.,Metroxylon,sagu,Arecaceae,Arecales,woody,Metroxylon_sagu_Rottb.,90,10000,10000,4,1,1,0,shoot,shoot,4,84,1,11.99501694,4.003227474,AA0115,Australasia,Northern New Guinea Lowland Rain And Freshwater Swamp Forests,141.338099,-3.63549451,269,102,89,244,326,212,114,271,268,272,266,2182,274,83,40,759,265,669,267,4.001317727,12.41826556,6.436896528,65.44716572,3.879821958,4.543732334,9.424748341,4.633887401,4.127794876,3.793923347,4.758822532,25.48786659,23.71743097,51.87092545,25.36120028,23.10993703,50.53654842,22.68605522,68.71869355,"Roots and tubers, nes",Arecaceae,Rottb.,"FAO only lists Metroxylon spp. but the corresponding commodity is sago palm, which corresponds with this species (as per USDA)"
Nasturtium_officinale,463,499,Watercress,Nasturtium officinale,Nasturtium_officinale_R.Br.,Nasturtium,officinale,Brassicaceae,Brassicales,herb,"NAsturtium_officinale_R.Br.",35,1000,216,35,1,1,0,shoot,shoot,90,441,1,4.600183292,3.649503608,PA0402,Palearctic,Atlantic Mixed Forests,3.29397908,49.58905893,101,76,33,5516,220,-2,224,81,61,167,30,782,77,48,12,220,160,202,190,16.18995702,15.62732642,7.050346319,8.085502911,11.55614734,1288.92762,10.97968649,44.18613184,70.77862362,10.92718353,55.06729333,12.65070345,23.61093239,25.91251003,68.6161134,21.80890244,22.47943733,23.55837902,26.55330972,"Vegetables, fresh nes",Brassicaceae,W.T. Aiton,NA
Nephelium_lappaceum,603,501,Rambutan,Nephelium lappaceum,Nephelium_lappaceum_L.,Nephelium,lappaceum,Sapindaceae,Sapindales,woody,Nephelium_lappaceum_L.,90,NA,NA,NA,0,1,0,multifood_rep,fruit_flower,90,10,1,1.673236496,0.824974747,IM0102,Indo_malay,Borneo Lowland Rain Forests,114.1196173,0.99922807,263,81,87,309,309,219,93,264,264,266,257,2536,324,135,23,920,423,515,473,1.49316919,10.24852758,3.992302278,13.05711735,0.706331194,3.990572736,11.43970395,2.177336462,2.000852853,1.488200276,1.624651409,12.40935358,11.16701092,18.90172581,27.0144968,11.98381435,17.67108523,12.58561501,36.2475649,"Fruit, tropical fresh nes",Sapindaceae,L.,NA
Oryza_glaberrima,27,523,Rice_african,Oryza glaberrima,Oryza_glaberrima_Steud.,Oryza,glaberrima,Poaceae,Poales,graminoid,Oryza_barthii_A.Chev.,134,3500,2600,152,1,1,1,food&forage,seed,4,480,1,1.656477321,1.529200597,AT0707,Afrotropic,Guinean Forest-Savanna Mosaic,-1.44104815,8.87510659,275,74,70,1190,332,226,106,268,282,290,259,1161,271,11,75,569,57,222,285,1.076682655,22.11387116,3.705296022,22.38896259,5.139972047,6.712220608,26.91709276,2.596448546,1.811180501,2.222335247,0.980303232,10.96399387,16.89090557,38.55889842,15.7727292,11.00282256,28.99236684,20.61949184,32.48425953,"Rice, paddy",Poaceae,Steud. ,"FAO lists this simply as Oryza spp., however, this is the only other cultivated rice species"
Pennisetum_glaucum,79,560,Millet_pearl,Pennisetum glaucum,Pennisetum_glaucum_(L.)_R.Br.,Pennisetum,glaucum,Poaceae,Poales,graminoid,Pennisetum_violaceum_(Lam.)_Rich.,1449,4900,4000,451161,1,1,1,food&forage,seed,128,323,1,11.26889348,2.267656446,AT0713,Afrotropic,Sahelian Acacia Savanna,14.84274128,14.77331045,282,148,56,3195,410,141,269,294,251,329,236,318,119,0,145,264,0,57,0,5.990986648,10.44245957,9.705518831,30.63780711,6.379918539,16.1753825,12.6317955,8.716096426,7.059671669,7.220805614,7.571630066,67.57885313,51.91607003,1349.508615,8.331792631,56.81015532,1139.492442,97.44123933,809.0579986,Millet,Poaceae,(L.) R. Br. ,NA
Prunus_cerasus,530,628,Sour_cherry,Prunus cerasus,Prunus_cerasus_L.,Prunus,cerasus,Rosaceae,Rosales,woody,Prunus_cerasus_L.,128,2300,NA,128,1,1,0,fruit_flower,fruit_flower,90,2,1,0,0,PA1201,Palearctic,Aegean And Western Turkey Sclerophyllous And Mixed Forests,24.78298151,38.757036,154,98,32,7298,317,12,305,78,243,248,61,459,57,20,28,157,72,79,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cherries, sour",Rosaceae,L.,"FAO lists Cerasus acida, but C. acida is commonly listed as a synonym for P. avium (e.g. in FAO group number 531). Removed from this FAO group"
