taxon	Feature ID	Taxon
Cynoscion jamaicensis	NC_087993.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion jamaicensis;NA
Cynoscion nebulosus	AF128402.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion nebulosus;NA
Cynoscion nebulosus	OP057009.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion nebulosus;NA
Cynoscion nothus	OP056945.2	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion nothus;NA
Cynoscion nothus	OP154135.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion nothus;NA
Cynoscion regalis	KX364159.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion regalis;NA
Cynoscion striatus	NC_087995.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cynoscion;Cynoscion striatus;NA
Cyprinus carpio	AP009047.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio;NA
Cyprinus carpio	KU681006.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio;NA
Cyprinus carpio	NC_001606.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio;NA
Cyprinus carpio 'Furong' x Carassius auratus red var.	NC_026543.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Cyprinus carpio 'Furong' x Carassius auratus red var.;NA
Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis'	NC_031808.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis';NA
Cyprinus carpio carpio	NC_018035.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio;Cyprinus carpio carpio
Cyprinus carpio haematopterus	NC_018037.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio;Cyprinus carpio haematopterus
Cyprinus carpio nudus	KU301745.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio;Cyprinus carpio nudus
Cyprinus carpio specularis x Carassius cuvieri	NC_026870.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Cyprinus carpio specularis x Carassius cuvieri;NA
Cyprinus carpio wuyuanensis x Carassius auratus	NC_018038.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Cyprinus carpio wuyuanensis x Carassius auratus;NA
Cyprinus carpio x Megalobrama amblycephala	NC_042402.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Cyprinus carpio x Megalobrama amblycephala;NA
Cypselurus angusticeps	OP035319.1	Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cypselurus;Cypselurus angusticeps;NA
Cypselurus hiraii	AB182653.1	Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cypselurus;Cypselurus hiraii;NA
Cypselurus poecilopterus	OP035088.1	Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cypselurus;Cypselurus poecilopterus;NA
Cystophora cristata	AM181028.1	Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Cystophora;Cystophora cristata;NA
Datnioides microlepis	NC_030278.1	Eukaryota;Chordata;Actinopteri;Lobotiformes;Datnioididae;Datnioides;Datnioides microlepis;NA
Datnioides microlepis	OP242183.1	Eukaryota;Chordata;Actinopteri;Lobotiformes;Datnioididae;Datnioides;Datnioides microlepis;NA
