taxon	Feature ID	Taxon
Styphnolobium japonicum var. japonicum	NC_045071.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Styphnolobium;Styphnolobium japonicum;NA;Styphnolobium japonicum var. japonicum;NA
Suaeda glauca	NC_045303.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Chenopodiaceae;Suaeda;Suaeda glauca;NA;NA;NA
Synsepalum dulcificum	NC_053849.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Sapotaceae;Synsepalum;Synsepalum dulcificum;NA;NA;NA
Syringa vulgaris	NC_036987.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Syringa;Syringa vulgaris;NA;NA;NA
Syzygium aqueum	MN119693.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Syzygium;Syzygium aqueum;NA;NA;NA
Syzygium aromaticum	NC_047249.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Syzygium;Syzygium aromaticum;NA;NA;NA
Syzygium cumini	NC_053327.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Syzygium;Syzygium cumini;NA;NA;NA
Syzygium jambos	NC_052728.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Syzygium;Syzygium jambos;NA;NA;NA
Syzygium malaccense	NC_052867.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Syzygium;Syzygium malaccense;NA;NA;NA
Syzygium samarangense	NC_060657.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Syzygium;Syzygium samarangense;NA;NA;NA
Tacca leontopetaloides	JN850599.1	Eukaryota;Streptophyta;Magnoliopsida;Dioscoreales;Taccaceae;Tacca;Tacca leontopetaloides;NA;NA;NA
Tacca leontopetaloides	JQ733889.1	Eukaryota;Streptophyta;Magnoliopsida;Dioscoreales;Taccaceae;Tacca;Tacca leontopetaloides;NA;NA;NA
Tacca leontopetaloides	NC_036658.1	Eukaryota;Streptophyta;Magnoliopsida;Dioscoreales;Taccaceae;Tacca;Tacca leontopetaloides;NA;NA;NA
Tagetes erecta	NC_045211.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tagetes;Tagetes erecta;NA;NA;NA
